City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
605,Podporozhye,RU,60.9112,34.1706,76.84,50,81,8.32,broken clouds
606,Sept-Iles,CA,50.2001,-66.3821,51.8,75,20,4.61,few clouds
607,Rantoul,US,40.3084,-88.1559,80.82,89,0,10.36,clear sky
608,General Roca,AR,-39.0333,-67.5833,47.62,45,82,21.34,broken clouds
609,Herat,AF,34.5,62.0,82.69,17,0,28.86,clear sky
610,Peterhead,GB,57.5058,-1.7981,54.0,72,67,20.78,broken clouds
611,Codajas,BR,-3.8367,-62.0569,70.97,97,11,1.79,few clouds
612,Pedernales,DO,18.0384,-71.744,79.38,68,10,3.22,clear sky
613,Kyshtovka,RU,56.555,76.6271,64.56,85,100,12.55,light rain
614,Rosa Zarate,EC,0.3333,-79.4667,71.04,96,100,3.15,overcast clouds
615,Zhanaozen,KZ,43.3,52.8,83.46,29,15,21.56,few clouds
616,Baherden,TM,38.4362,57.4316,84.63,24,0,6.35,clear sky
617,Csomor,HU,47.55,19.2333,81.79,52,0,11.5,clear sky
618,Koungheul,SN,13.9833,-14.8,79.99,77,100,6.76,overcast clouds
619,Kibala,TD,9.1104,18.3463,76.95,83,20,6.91,few clouds
620,Diamantino,BR,-14.4086,-56.4461,64.87,51,98,5.88,overcast clouds
621,Chicama,PE,-7.8447,-79.1469,59.54,91,49,2.95,scattered clouds
622,Aksu,CN,41.1231,80.2644,100.76,12,0,4.56,clear sky
623,Koygorodok,RU,60.445,50.9968,74.21,31,64,4.63,broken clouds
624,Konde,TZ,-4.95,39.75,78.42,66,65,11.45,light rain
625,Nanuque,BR,-17.8392,-40.3539,63.28,95,4,2.08,clear sky
626,Acari,PE,-15.4311,-74.6158,60.58,85,75,2.35,broken clouds
627,Grand-Santi,GF,4.25,-54.3833,69.82,99,66,1.72,broken clouds
628,Pobe,BJ,6.9801,2.6649,73.4,92,100,5.59,light rain
629,Caraubas,BR,-5.7925,-37.5567,71.2,81,36,12.21,scattered clouds
630,Itacarambi,BR,-15.1022,-44.0919,60.33,80,0,1.52,clear sky
631,Puri,IN,19.8,85.85,81.12,83,100,8.63,light rain
632,Chipinge,ZW,-20.1883,32.6236,65.05,46,1,4.32,clear sky
633,Valreas,FR,44.3837,4.9908,77.68,47,0,14.34,clear sky
634,Ajdabiya,LY,30.7554,20.2263,86.2,27,0,10.65,clear sky
635,Beyneu,KZ,45.3167,55.2,79.25,43,66,18.39,light rain
636,Kovur,IN,14.4833,79.9833,93.49,44,100,14.52,overcast clouds
637,Bereda,ES,43.2686,-7.5406,66.42,100,100,7.29,overcast clouds
638,Bolshaya Martynovka,RU,47.271,41.6679,86.13,32,33,7.83,scattered clouds
639,Tunceli,TR,39.1083,39.5471,83.05,23,0,3.15,clear sky
640,Carauari,BR,-4.8828,-66.8958,71.38,99,89,2.42,overcast clouds
641,Mangochi,MW,-14.4782,35.2645,73.67,51,0,5.39,clear sky
642,Sunbury,AU,-37.5833,144.7333,51.84,80,20,8.05,few clouds
